bench,mode,api,iface,op,size_bytes,blocks,threads,repeats,total_bytes,host_ms,host_wall_ns,gbps_host,gbps_host_wall,dev_cycles,bytes_per_cycle,clk_khz,clk_eff_khz_from_host,gbps_dev
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,32,512,65536,67108864,37.374298,37405617,1.795589,1.794085,30730024,2.183820748,1073741,822223.441,2.344858
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,64,128,65536,67108864,47.005135,47036546,1.427692,1.426739,43719948,1.534971268,1073741,930110.048,1.648162
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,64,256,65536,67108864,51.309879,51340771,1.307913,1.307126,45636264,1.470516167,1073741,889424.505,1.578953
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,1024,64,512,65536,67108864,59.797997,59829082,1.122259,1.121676,49300706,1.361215071,1073741,824454.143,1.461592
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,4,128,65536,67108864,57.905220,57935848,1.158943,1.158331,57282952,1.171532920,1073741,989253.680,1.257923
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,4,256,65536,67108864,58.170380,58201548,1.153660,1.153043,57259734,1.172007959,1073741,984345.200,1.258433
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,4,512,65536,67108864,58.722401,58753438,1.142815,1.142212,57274044,1.171715132,1073741,975335.534,1.258119
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,8,128,65536,67108864,57.215919,57246389,1.172905,1.172281,56316282,1.191642303,1073741,984276.448,1.279515
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,8,256,65536,67108864,57.740604,57770439,1.162247,1.161647,56291346,1.192170178,1073741,974900.533,1.280082
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,8,512,65536,67108864,58.839706,58871012,1.140537,1.139931,56304002,1.191902203,1073741,956904.876,1.279794
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,16,128,65536,67108864,58.313599,58346249,1.150827,1.150183,57139706,1.174469886,1073741,979869.316,1.261076
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,16,256,65536,67108864,59.272141,59304373,1.132216,1.131601,57420428,1.168728035,1073741,968759.142,1.254911
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,16,512,65536,67108864,61.559834,61594364,1.090140,1.089529,58111966,1.154820059,1073741,943991.604,1.239978
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,32,128,65536,67108864,66.767700,66800164,1.005110,1.004621,64955762,1.033147206,1073741,972862.055,1.109333
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,32,256,65536,67108864,68.892624,68925273,0.974108,0.973647,65485984,1.024782097,1073741,950551.457,1.100351
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,32,512,65536,67108864,73.205101,73235668,0.916724,0.916341,66547632,1.008433538,1073741,909057.307,1.082796
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,64,128,65536,67108864,141.335510,141362231,0.474820,0.474730,138030460,0.486188802,1073741,976615.571,0.522041
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,64,256,65536,67108864,145.545914,145582045,0.461084,0.460969,139849268,0.479865679,1073741,960860.147,0.515251
ptshmem_perf_matrix_device,dev_c2c_get,device_c2c,blocking,get,1024,64,512,65536,67108864,154.026245,154052860,0.435698,0.435622,143518956,0.467595821,1073741,931782.476,0.502077
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,4,128,65536,1073741824,306.289917,306305472,3.505639,3.505461,305656866,3.512899409,1073741,997933.164,3.771944
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,4,256,65536,1073741824,225.646149,225666746,4.758520,4.758086,224719702,4.778138341,1073741,995894.250,5.130483
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,4,512,65536,1073741824,184.977524,185000078,5.804715,5.804007,183557058,5.849635180,1073741,992320.874,6.280993
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,8,128,65536,1073741824,225.574753,225595993,4.760027,4.759578,224671930,4.779154316,1073741,995997.678,5.131574
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,8,256,65536,1073741824,185.000153,185024944,5.804005,5.803227,183520952,5.850786040,1073741,992004.328,6.282229
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,8,512,65536,1073741824,166.541061,166565124,6.447310,6.446378,164022500,6.546308122,1073741,984877.235,7.029039
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,16,128,65536,1073741824,184.592712,184614497,5.816816,5.816130,183428046,5.853749453,1073741,993690.615,6.285411
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,16,256,65536,1073741824,165.957108,165982563,6.469996,6.469004,163974264,6.548233837,1073741,988052.072,7.031107
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,16,512,65536,1073741824,437.314423,437322688,2.455309,2.455262,433718222,2.475666849,1073741,991776.625,2.658225
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,32,128,65536,1073741824,210.697617,210732378,5.096127,5.095286,208866622,5.140801406,1073741,991309.847,5.519889
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,32,256,65536,1073741824,438.634338,438643128,2.447920,2.447871,435221784,2.467114155,1073741,992220.047,2.649042
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,32,512,65536,1073741824,846.188293,846171775,1.268916,1.268941,839849036,1.278493846,1073741,992508.455,1.372771
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,64,128,65536,1073741824,444.064087,444072769,2.417988,2.417941,440878944,2.435457258,1073741,992827.290,2.615050
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,64,256,65536,1073741824,853.940857,853924933,1.257396,1.257419,848219766,1.265876919,1073741,993300.366,1.359224
ptshmem_perf_matrix_device,dev_put,device,blocking,put,16384,64,512,65536,1073741824,1663.913086,1663847126,0.645311,0.645337,1653379070,0.649422654,1073741,993669.131,0.697312
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,4,128,65536,1073741824,291.317871,291340832,3.685808,3.685518,290651194,3.694262560,1073741,997711.513,3.966681
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,4,256,65536,1073741824,210.611404,210635113,5.098213,5.097639,209688664,5.120647934,1073741,995618.754,5.498250
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,4,512,65536,1073741824,170.122421,170202155,6.311583,6.308626,168646918,6.366803715,1073741,991326.815,6.836298
